QA independent re-run of #78 AC1 (issue-41-theme-toggle.spec.ts)
host: windows, branch issue-75-sidebar-sticky-scroll-lock, PORT=3412

workers=1 run 1:   31 passed (58.1s) 
workers=1 run 2:   31 passed (46.0s) 
workers=1 run 3:   31 passed (39.2s) 
workers=1 run 4:   31 passed (49.1s) 
workers=1 run 5:   31 passed (33.9s) 
workers=1 run 6:   31 passed (53.5s) 
workers=1 run 7:   31 passed (48.1s) 
workers=1 run 8:   31 passed (51.4s) 
workers=1 run 9:   31 passed (51.6s) 
workers=1 run 10:   31 passed (46.1s) 
workers=2 run 1:   31 passed (23.5s) 
workers=2 run 2:   31 passed (22.3s) 
workers=2 run 3:   31 passed (23.8s) 
workers=2 run 4:   31 passed (16.3s) 
workers=2 run 5:   31 passed (25.5s) 
workers=2 run 6:   31 passed (28.8s) 
workers=2 run 7:   31 passed (17.7s) 
workers=2 run 8:   31 passed (31.6s) 
workers=2 run 9:   31 passed (27.5s) 
workers=2 run 10:   31 passed (17.4s) 
